id,code,name,short_name,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away
1,3,Arsenal,ARS,1260,1320,1240,1270,1310,1340
2,91,Bournemouth,BOU,1030,1130,1040,1100,1120,1130
3,36,Brighton,BHA,1030,1050,1040,1140,1010,1070
4,90,Burnley,BUR,1070,1100,990,1030,1000,1040
5,97,Cardiff,CAR,1030,1080,1030,1060,1020,1090
6,8,Chelsea,CHE,1260,1310,1270,1340,1320,1330
7,31,Crystal Palace,CRY,1060,1080,1030,1180,1030,1050
8,11,Everton,EVE,1090,1110,1070,1120,1140,1230
9,54,Fulham,FUL,1000,1040,1000,1030,1000,1080
10,38,Huddersfield,HUD,1010,1020,1030,1060,990,1010
11,13,Leicester,LEI,1110,1110,1130,1180,1080,1140
12,14,Liverpool,LIV,1330,1350,1330,1360,1330,1340
13,43,Man City,MCI,1320,1350,1320,1330,1340,1360
14,1,Man Utd,MUN,1310,1330,1250,1260,1310,1340
15,4,Newcastle,NEW,1070,1120,1070,1110,1030,1050
16,20,Southampton,SOU,1050,1060,1040,1070,1100,1100
17,6,Spurs,TOT,1330,1330,1270,1340,1320,1340
18,57,Watford,WAT,1100,1110,1100,1100,1130,1150
19,21,West Ham,WHU,1100,1150,1090,1100,1120,1150
20,39,Wolves,WOL,1130,1150,1180,1200,1080,1100
